CODE,FREQUENCY,TIME,Value
AFG,A,2017,57.96859
ALB,A,1990,22.85328
ALB,A,1995,21.97342
ALB,A,2000,22.37511
ALB,A,2005,21.78893
ALB,A,2010,21.37192
ALB,A,2011,22.96589
ALB,A,2012,21.17497
ALB,A,2013,20.19687
ALB,A,2014,19.28665
ALB,A,2015,19.84378
ALB,A,2016,18.5064
ALB,A,2017,18.59367
DZA,A,1990,37.37666
DZA,A,1995,37.0212
DZA,A,2000,36.50997
DZA,A,2005,35.54758
DZA,A,2010,34.1131
DZA,A,2011,34.017
DZA,A,2012,34.21854
DZA,A,2013,34.91307
DZA,A,2014,36.16571
DZA,A,2015,38.54032
DZA,A,2016,39.10874
DZA,A,2017,39.40822
AGO,A,1990,36.75431
AGO,A,1995,36.34699
AGO,A,2000,35.05411
AGO,A,2005,34.87769
AGO,A,2010,33.04805
AGO,A,2011,33.24009
AGO,A,2012,33.26244
AGO,A,2013,34.51178
AGO,A,2014,33.14034
AGO,A,2015,32.61187
AGO,A,2016,32.55246
AGO,A,2017,32.5582
ARG,A,1990,17.46831
ARG,A,1995,17.63529
ARG,A,2000,17.537
ARG,A,2005,17.27838
ARG,A,2010,17.54763
ARG,A,2011,18.28105
ARG,A,2012,16.72811
ARG,A,2013,16.40784
ARG,A,2014,15.30608
ARG,A,2015,15.12304
ARG,A,2016,14.27303
ARG,A,2017,14.23482
ARM,A,1990,37.8424
ARM,A,1995,36.05054
ARM,A,2000,36.94509
ARM,A,2005,37.25027
ARM,A,2010,37.918
ARM,A,2011,38.82542
ARM,A,2012,37.16772
ARM,A,2013,35.26826
ARM,A,2014,33.19578
ARM,A,2015,34.84461
ARM,A,2016,32.49817
ARM,A,2017,32.63979
AZE,A,1990,24.41096
AZE,A,1995,23.60124
AZE,A,2000,23.89057
AZE,A,2005,23.35418
AZE,A,2010,23.71448
AZE,A,2011,24.46963
AZE,A,2012,23.05358
AZE,A,2013,22.27806
AZE,A,2014,21.31051
AZE,A,2015,22.43594
AZE,A,2016,20.48857
AZE,A,2017,20.7103
BHR,A,1990,71.3095
BHR,A,1995,70.86082
BHR,A,2000,67.26129
BHR,A,2005,63.24386
BHR,A,2010,64.57308
BHR,A,2011,62.82728
BHR,A,2012,70.07303
BHR,A,2013,67.06115
BHR,A,2014,62.69797
BHR,A,2015,71.75526
BHR,A,2016,69.20281
BHR,A,2017,69.88265
BGD,A,1990,61.34614
BGD,A,1995,61.94915
BGD,A,2000,62.68087
BGD,A,2005,67.79119
BGD,A,2010,70.39011
BGD,A,2011,70.82919
BGD,A,2012,70.50447
BGD,A,2013,65.69671
BGD,A,2014,67.43894
BGD,A,2015,67.08007
BGD,A,2016,59.62672
BGD,A,2017,60.5818
BLR,A,1990,25.19035
BLR,A,1995,23.00154
BLR,A,2000,22.88607
BLR,A,2005,22.77316
BLR,A,2010,23.31878
BLR,A,2011,23.13995
BLR,A,2012,21.70759
BLR,A,2013,20.67856
BLR,A,2014,20.00149
BLR,A,2015,20.28957
BLR,A,2016,19.03623
BLR,A,2017,19.04726
BEN,A,1990,39.34834
BEN,A,1995,38.77519
BEN,A,2000,38.78797
BEN,A,2005,33.14255
BEN,A,2010,32.62136
BEN,A,2011,32.05052
BEN,A,2012,33.16417
BEN,A,2013,31.64802
BEN,A,2014,30.18528
BEN,A,2015,40.83546
BEN,A,2016,39.40422
BEN,A,2017,39.74976
BTN,A,1990,37.1771
BTN,A,1995,37.43123
BTN,A,2000,36.95217
BTN,A,2005,39.78274
BTN,A,2010,39.65497
BTN,A,2011,38.77345
BTN,A,2012,38.70409
BTN,A,2013,37.69268
BTN,A,2014,36.52952
BTN,A,2015,35.88962
BTN,A,2016,33.69255
BTN,A,2017,33.95557
BOL,A,1990,25.39021
BOL,A,1995,25.76716
BOL,A,2000,27.36503
BOL,A,2005,30.02403
BOL,A,2010,31.04046
BOL,A,2011,29.18144
BOL,A,2012,27.89628
BOL,A,2013,27.11868
BOL,A,2014,25.72985
BOL,A,2015,23.64304
BOL,A,2016,22.30963
BOL,A,2017,22.23571
BIH,A,1990,35.81201
BIH,A,1995,33.91824
BIH,A,2000,34.13573
BIH,A,2005,34.88487
BIH,A,2010,33.56461
BIH,A,2011,35.52952
BIH,A,2012,32.63229
BIH,A,2013,31.20191
BIH,A,2014,30.02573
BIH,A,2015,30.83203
BIH,A,2016,28.4727
BIH,A,2017,28.6026
BWA,A,1990,25.61617
